sup_sem_ha,Sup.Semb.[ha]
sup_cos_ha,Sup.Cos.[ha]
rend_kgxha,Rend.[kg/ha]
prod_ton,Prod.[ton]
nino,Fen. Ni#o
nina,Fen. Ni#a
gobierno,Gobierno
pbi_mil_mill_usd,PBI [10^9 USD]
deuda_ext_mil_mill_usd,Deuda Ext. [10^9 USD]
tractoresx1000ha,Tractores [c/1000 ha]
pbi_agric_%,PBI Agric. [% PBI]
retenciones_%, Retenc. [% PBI Agric.]
cred_agric_millon_usd, Cred. Agric. [10^6 USD]
inflacion_%,Inflac. Anual [%]
arroz_usdxton,Arroz [USD/ton]
avena_usdxton,Avena [USD/ton]
girasol_usdxton,Girasol [USD/ton]
maiz_usdxton,Maiz [USD/ton]
poroto_usdxton,Poroto [USD/ton]
soja_usdxton,Soja [USD/ton]
sorgo_usdxton,Sorgo [USD/ton]
trigo_usdxton,Trigo [USD/ton]
yerba_mate_usdxton,Yerba Mate [USD/ton]
