periodo,provincia,departamento,sector,ambito,PoblacionIndigenaInicial,PoblacionIndigenaPrimaria,PoblacionIndigenaSecundaria,BoliviaInicial,BrasilInicial,ChileInicial,ParaguayInicial,PeruInicial,UruguayInicial,OtrospaisesdeAmericaInicial,EuropaInicial,AsiaInicial,OtrosInicial,BoliviaPrimaria,BrasilPrimaria,ChilePrimaria,ParaguayPrimaria,PeruPrimaria,UruguayPrimaria,OtrospaisesdeAmericaPrimaria,EuropaPrimaria,AsiaPrimaria,OtrosPrimaria,BoliviaSecundaria,BrasilSecundaria,ChileSecundaria,ParaguaySecundaria,PeruSecundaria,UruguaySecundaria,OtrospaisesdeAmericaSecundaria,EuropaSecundaria,AsiaSecundaria,OtrosSecundaria
2011,BUENOS AIRES,25 DE MAYO,Estatal,Rural,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2011,BUENOS AIRES,25 DE MAYO,Estatal,Urbano,0,2,0,0,0,0,2,1,0,1,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,BUENOS AIRES,25 DE MAYO,Privado,Urbano,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,BUENOS AIRES,9 DE JULIO,Estatal,Rural,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,BUENOS AIRES,9 DE JULIO,Estatal,Urbano,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,2,0,0,0,1,0,0,1,0,0,3,0,0,0
2011,BUENOS AIRES,9 DE JULIO,Privado,Urbano,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2011,BUENOS AIRES,ADOLFO ALSINA,Estatal,Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2011,BUENOS AIRES,ADOLFO ALSINA,Estatal,Urbano,0,3,0,0,0,0,0,0,0,0,0,0,0,4,1,0,2,0,0,0,1,0,0,2,0,1,1,0,0,0,0,0,0
2011,BUENOS AIRES,ADOLFO ALSINA,Privado,Urbano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,BUENOS AIRES,ADOLFO GONZALES CHAVES,Estatal,Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,BUENOS AIRES,ADOLFO GONZALES CHAVES,Estatal,Urbano,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,BUENOS AIRES,ALBERTI,Estatal,Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2011,BUENOS AIRES,ALBERTI,Estatal,Urbano,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2011,BUENOS AIRES,ALMIRANTE BROWN,Estatal,Urbano,3,67,4,23,1,3,35,9,1,3,8,1,0,233,5,12,478,35,26,10,6,4,0,133,6,6,275,26,19,5,6,0,1
2011,BUENOS AIRES,ALMIRANTE BROWN,Privado,Urbano,0,0,1,1,0,0,13,5,0,3,8,2,1,5,2,8,44,8,10,26,19,5,2,12,2,0,74,22,4,3,10,4,0
2011,BUENOS AIRES,ARRECIFES,Estatal,Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
2011,BUENOS AIRES,ARRECIFES,Estatal,Urbano,0,0,317,0,0,0,6,0,0,0,2,0,0,3,0,0,7,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0
2011,BUENOS AIRES,AVELLANEDA,Estatal,Urbano,0,11,0,36,1,2,74,44,11,3,11,1,0,122,10,10,532,126,53,20,3,1,0,86,7,8,401,140,36,28,2,2,5
2011,BUENOS AIRES,AVELLANEDA,Privado,Urbano,0,0,0,1,1,0,8,3,1,1,10,1,0,10,8,3,26,17,3,16,15,2,0,7,2,2,33,16,6,7,3,0,2
2011,BUENOS AIRES,AYACUCHO,Estatal,Rural,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2011,BUENOS AIRES,AYACUCHO,Estatal,Urbano,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,14,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0
2011,BUENOS AIRES,AZUL,Estatal,Rural,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2011,BUENOS AIRES,AZUL,Estatal,Urbano,0,0,0,0,0,2,4,0,0,1,0,1,0,2,0,1,22,0,0,2,0,0,0,0,0,1,1,1,0,4,0,0,0
2011,BUENOS AIRES,AZUL,Privado,Urbano,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0
2011,BUENOS AIRES,BAHIA BLANCA,Estatal,Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,BUENOS AIRES,BAHIA BLANCA,Estatal,Urbano,0,12,5,3,4,3,12,0,0,5,5,0,0,30,10,13,46,3,1,10,4,0,1,39,3,31,15,8,4,5,8,0,1
2011,BUENOS AIRES,BAHIA BLANCA,Privado,Urbano,0,0,0,0,1,1,1,0,0,7,9,0,0,0,1,6,1,0,1,17,11,2,2,0,2,2,0,2,0,3,6,1,4
2011,BUENOS AIRES,BALCARCE,Estatal,Rural,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,BUENOS AIRES,BALCARCE,Estatal,Urbano,8,0,0,9,0,1,4,0,0,0,2,0,0,17,0,0,17,0,1,3,1,0,0,4,0,0,1,0,0,1,0,0,0
2011,BUENOS AIRES,BALCARCE,Privado,Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2011,BUENOS AIRES,BALCARCE,Privado,Urbano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,BUENOS AIRES,BARADERO,Estatal,Rural,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
2011,BUENOS AIRES,BARADERO,Estatal,Urbano,7,0,0,2,0,0,3,0,0,0,0,0,0,4,0,0,2,1,1,0,0,2,0,6,0,1,9,1,0,0,0,0,0
2011,BUENOS AIRES,BARADERO,Privado,Urbano,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,BUENOS AIRES,BENITO JUAREZ,Estatal,Rural,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,BUENOS AIRES,BENITO JUAREZ,Estatal,Urbano,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2011,BUENOS AIRES,BERAZATEGUI,Estatal,Urbano,0,14,1,51,0,0,39,3,0,3,4,1,2,294,0,2,227,13,11,9,5,1,0,256,0,0,203,17,7,4,0,0,0
2011,BUENOS AIRES,BERAZATEGUI,Privado,Urbano,0,0,0,3,3,0,1,2,1,13,6,0,0,3,8,3,30,1,4,18,12,3,1,12,1,2,31,5,1,7,7,8,0
2011,BUENOS AIRES,BERISSO,Estatal,Urbano,0,6,12,7,1,0,23,17,2,0,1,0,0,41,3,2,104,81,1,0,0,0,0,21,1,0,67,68,2,1,0,0,1
2011,BUENOS AIRES,BERISSO,Privado,Urbano,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,2,0,1,3,1,0,0,0,0,0,6,4,0,0,0,0,0
2011,BUENOS AIRES,BOLIVAR,Estatal,Rural,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2011,BUENOS AIRES,BOLIVAR,Estatal,Urbano,0,4,0,1,0,0,2,0,1,0,0,0,0,0,0,1,15,0,1,2,1,0,0,2,0,0,7,0,1,0,0,0,0
2011,BUENOS AIRES,BOLIVAR,Privado,Urbano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2011,BUENOS AIRES,BRAGADO,Estatal,Rural,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2011,BUENOS AIRES,BRAGADO,Estatal,Urbano,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,7,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,2
2011,BUENOS AIRES,BRAGADO,Privado,Urbano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0
2011,BUENOS AIRES,BRANDSEN,Estatal,Rural,0,0,18,3,0,0,1,0,0,0,0,0,0,16,0,0,11,0,1,1,0,0,0,15,0,0,7,0,1,0,0,0,0
2011,BUENOS AIRES,BRANDSEN,Estatal,Urbano,16,0,0,1,0,0,4,0,0,0,0,1,0,10,0,0,16,0,1,0,1,0,0,16,0,0,0,0,0,0,1,0,0
2011,BUENOS AIRES,BRANDSEN,Privado,Urbano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2011,BUENOS AIRES,CANUELAS,Estatal,Rural,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,15,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
2011,BUENOS AIRES,CANUELAS,Estatal,Urbano,12,2,0,6,0,0,13,0,0,2,0,0,0,25,1,0,40,0,1,0,0,0,0,16,3,1,33,1,5,0,0,0,0
2011,BUENOS AIRES,CANUELAS,Privado,Urbano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,2,0,0,0,0,0,2,0,0,0,0,1,0
2011,BUENOS AIRES,CAMPANA,Estatal,Rural,0,111,2,0,0,0,0,0,0,1,0,0,0,116,0,0,4,0,0,0,1,0,0,16,0,0,3,0,2,1,0,0,0
2011,BUENOS AIRES,CAMPANA,Estatal,Urbano,0,0,0,4,0,0,8,2,0,0,1,0,0,2,0,0,40,3,4,1,0,0,0,5,3,1,28,9,3,3,1,0,0
