cultivo,periodo,provincia,departamento,sup_sem_ha,sup_cos_ha,rend_kgxha,prod_ton
ARROZ,1924,CORRIENTES,SANTO TOME,89,89.0,1000.0,89
ARROZ,1924,FORMOSA,PILAGAS,1,1.0,1000.0,1
ARROZ,1924,JUJUY,EL CARMEN,100,100.0,2000.0,200
ARROZ,1924,JUJUY,SAN PEDRO,250,250.0,2280.0,570
ARROZ,1924,JUJUY,SANTA BARBARA,150,150.0,2200.0,330
ARROZ,1924,MENDOZA,GENERAL ALVEAR,1,1.0,1000.0,1
ARROZ,1924,MISIONES,APOSTOLES,1129,1129.0,2000.0,2258
ARROZ,1924,MISIONES,CANDELARIA,22,22.0,2000.0,44
ARROZ,1924,MISIONES,CONCEPCION,185,185.0,12205.0,2257
ARROZ,1924,MISIONES,SAN IGNACIO,31,31.0,2000.0,62
ARROZ,1924,MISIONES,SAN JAVIER,1241,1241.0,2000.0,2482
ARROZ,1924,SALTA,ANTA,55,55.0,3000.0,165
ARROZ,1924,SALTA,CAMPO SANTO,90,90.0,3000.0,270
ARROZ,1924,SALTA,METAN,60,60.0,3000.0,180
ARROZ,1924,SALTA,ORAN,6,6.0,3000.0,18
ARROZ,1924,TUCUMAN,CHICLIGASTA,752,752.0,2519.0,1894
ARROZ,1924,TUCUMAN,RIO CHICO,1010,1010.0,2800.0,2828
ARROZ,1925,CORRIENTES,PASO DE LOS LIBRES,10,10.0,1000.0,10
ARROZ,1925,CORRIENTES,SAN MARTIN,18,18.0,1056.0,19
ARROZ,1925,CORRIENTES,SANTO TOME,22,22.0,1000.0,22
ARROZ,1925,FORMOSA,PILAGAS,4,4.0,1500.0,6
ARROZ,1925,FORMOSA,PILCOMAYO,6,6.0,1500.0,9
ARROZ,1925,MISIONES,APOSTOLES,1070,1070.0,2147.0,2297
ARROZ,1925,MISIONES,CANDELARIA,14,14.0,1857.0,25
ARROZ,1925,MISIONES,CONCEPCION,170,170.0,2000.0,340
ARROZ,1925,MISIONES,SAN IGNACIO,24,24.0,1750.0,42
ARROZ,1925,MISIONES,SAN JAVIER,1222,1222.0,1878.0,2294
ARROZ,1925,SALTA,ANTA,15,15.0,2467.0,37
ARROZ,1925,SALTA,CAMPO SANTO,65,65.0,2492.0,161
ARROZ,1925,TUCUMAN,CHICLIGASTA,913,913.0,1378.0,1258
ARROZ,1925,TUCUMAN,GRANEROS,3,3.0,2000.0,6
ARROZ,1926,CORRIENTES,SANTO TOME,80,80.0,2000.0,160
ARROZ,1926,MISIONES,APOSTOLES,1405,1405.0,2500.0,3512
ARROZ,1926,MISIONES,CANDELARIA,15,15.0,2000.0,30
ARROZ,1926,MISIONES,CONCEPCION,445,445.0,2519.0,1120
ARROZ,1926,MISIONES,SAN IGNACIO,10,10.0,2400.0,24
ARROZ,1926,TUCUMAN,CHICLIGASTA,520,520.0,2121.0,1102
ARROZ,1926,TUCUMAN,GRANEROS,36,36.0,2194.0,78
ARROZ,1926,TUCUMAN,MONTEROS,350,350.0,1800.0,630
ARROZ,1927,CORRIENTES,ITUZAINGO,73,73.0,1795.0,131
ARROZ,1927,CORRIENTES,SANTO TOME,30,30.0,2000.0,60
ARROZ,1927,JUJUY,EL CARMEN,20,20.0,1000.0,20
ARROZ,1927,JUJUY,SAN PEDRO,30,30.0,1000.0,30
ARROZ,1927,MISIONES,APOSTOLES,1347,1347.0,1264.0,1702
ARROZ,1927,MISIONES,CANDELARIA,43,43.0,1140.0,49
ARROZ,1927,MISIONES,CONCEPCION,460,460.0,1100.0,506
ARROZ,1927,MISIONES,SAN IGNACIO,12,12.0,1167.0,14
ARROZ,1927,MISIONES,SAN JAVIER,370,370.0,1100.0,407
ARROZ,1927,SALTA,ANTA,17,17.0,2000.0,34
ARROZ,1927,SALTA,CAMPO SANTO,42,42.0,2000.0,84
ARROZ,1927,SALTA,METAN,16,16.0,2000.0,32
ARROZ,1927,TUCUMAN,CHICLIGASTA,1200,1200.0,2000.0,2400
ARROZ,1927,TUCUMAN,GRANEROS,6,6.0,2500.0,15
ARROZ,1927,TUCUMAN,LEALES,30,30.0,2200.0,66
ARROZ,1927,TUCUMAN,MONTEROS,300,300.0,1700.0,510
ARROZ,1927,TUCUMAN,RIO CHICO,340,340.0,3265.0,1110
ARROZ,1928,BUENOS AIRES,QUILMES,200,120.0,1300.0,156
ARROZ,1928,CORRIENTES,EMPEDRADO,1,1.0,2000.0,2
ARROZ,1928,CORRIENTES,ITUZAINGO,80,80.0,2000.0,160
ARROZ,1928,CORRIENTES,SANTO TOME,35,35.0,2086.0,73
ARROZ,1928,FORMOSA,PILAGAS,4,4.0,2000.0,8
ARROZ,1928,JUJUY,EL CARMEN,41,41.0,2488.0,102
ARROZ,1928,MISIONES,APOSTOLES,800,800.0,1970.0,1576
ARROZ,1928,MISIONES,CANDELARIA,40,40.0,1800.0,72
ARROZ,1928,MISIONES,CONCEPCION,320,320.0,2100.0,672
ARROZ,1928,MISIONES,SAN IGNACIO,6,6.0,2000.0,12
ARROZ,1928,MISIONES,SAN JAVIER,200,200.0,2000.0,400
ARROZ,1928,SALTA,ANTA,17,17.0,3000.0,51
ARROZ,1928,SANTA FE,SAN JAVIER,1,1.0,2000.0,2
ARROZ,1928,TUCUMAN,BURRUYACU,5,3.0,1000.0,3
ARROZ,1928,TUCUMAN,CRUZ ALTA,8,7.0,1000.0,7
ARROZ,1928,TUCUMAN,CHICLIGASTA,844,670.0,2525.0,1691
ARROZ,1928,TUCUMAN,FAMAILLA,55,30.0,1200.0,36
ARROZ,1928,TUCUMAN,GRANEROS,28,20.0,800.0,16
ARROZ,1928,TUCUMAN,LEALES,15,7.0,1000.0,7
ARROZ,1928,TUCUMAN,MONTEROS,150,140.0,1400.0,196
ARROZ,1928,TUCUMAN,RIO CHICO,583,463.0,2160.0,1000
ARROZ,1928,TUCUMAN,CAPITAL,4,2.0,1000.0,2
ARROZ,1928,TUCUMAN,TAFI DEL VALLE,6,4.0,1000.0,4
ARROZ,1928,TUCUMAN,TRANCAS,2,1.0,1000.0,1
ARROZ,1929,BUENOS AIRES,QUILMES,90,20.0,1400.0,28
ARROZ,1929,CORRIENTES,ITUZAINGO,78,45.0,1489.0,67
ARROZ,1929,CORRIENTES,SANTO TOME,68,40.0,1500.0,60
ARROZ,1929,JUJUY,GOBERNADOR OVEJERO,15,15.0,3000.0,45
ARROZ,1929,JUJUY,EL CARMEN,24,24.0,3000.0,72
ARROZ,1929,JUJUY,SAN PEDRO,5,5.0,3000.0,15
ARROZ,1929,MISIONES,APOSTOLES,700,700.0,1286.0,900
ARROZ,1929,MISIONES,CANDELARIA,100,100.0,1000.0,100
ARROZ,1929,MISIONES,CONCEPCION,100,100.0,1000.0,100
ARROZ,1929,MISIONES,SAN IGNACIO,50,50.0,1000.0,50
ARROZ,1929,MISIONES,SAN JAVIER,700,630.0,1310.0,825
ARROZ,1929,SALTA,CAMPO SANTO,30,30.0,2000.0,60
