cultivo,periodo,provincia,departamento,sup_sem_ha,sup_cos_ha,rend_kgxha,prod_ton
AVENA,1923,BUENOS AIRES,ADOLFO ALSINA,8000,6700,1000,6700
AVENA,1923,BUENOS AIRES,ADOLFO GONZALES CHAVES,84000,78000,1600,124800
AVENA,1923,BUENOS AIRES,ALBERTI,4700,4200,1070,4494
AVENA,1923,BUENOS AIRES,AYACUCHO,1780,1553,971,1507
AVENA,1923,BUENOS AIRES,AZUL,10000,8500,1340,11390
AVENA,1923,BUENOS AIRES,BAHIA BLANCA,8000,6350,1200,7620
AVENA,1923,BUENOS AIRES,BALCARCE,4400,3800,1350,5130
AVENA,1923,BUENOS AIRES,BARADERO,750,450,790,355
AVENA,1923,BUENOS AIRES,BARTOLOME MITRE,2000,1400,800,1120
AVENA,1923,BUENOS AIRES,BENITO JUAREZ,25500,20000,1430,28600
AVENA,1923,BUENOS AIRES,BOLIVAR,17300,14980,1440,21571
AVENA,1923,BUENOS AIRES,BRAGADO,6000,4800,1025,4920
AVENA,1923,BUENOS AIRES,CAMPANA,400,170,860,146
AVENA,1923,BUENOS AIRES,CARLOS CASARES,4700,4000,1120,4480
AVENA,1923,BUENOS AIRES,CARLOS TEJEDOR,7000,6000,1220,7320
AVENA,1923,BUENOS AIRES,CARMEN DE ARECO,400,180,700,126
AVENA,1923,BUENOS AIRES,CASTELLI,1080,780,1000,780
AVENA,1923,BUENOS AIRES,COLON,500,150,700,105
AVENA,1923,BUENOS AIRES,CORONEL DORREGO,89500,76000,1437,109212
AVENA,1923,BUENOS AIRES,CORONEL PRINGLES,46000,41500,1405,58307
AVENA,1923,BUENOS AIRES,CORONEL SUAREZ,13000,10650,1200,12780
AVENA,1923,BUENOS AIRES,CHACABUCO,3000,2400,910,2184
AVENA,1923,BUENOS AIRES,CHASCOMUS,1320,1000,1000,1000
AVENA,1923,BUENOS AIRES,CHIVILCOY,5000,4000,1080,4320
AVENA,1923,BUENOS AIRES,EXALTACION DE LA CRUZ,1000,900,740,666
AVENA,1923,BUENOS AIRES,GENERAL ALVARADO,3400,2860,1550,4433
AVENA,1923,BUENOS AIRES,GENERAL ALVEAR,2000,1800,900,1620
AVENA,1923,BUENOS AIRES,GENERAL ARENALES,3000,1630,890,1450
AVENA,1923,BUENOS AIRES,GENERAL BELGRANO,1000,850,800,680
AVENA,1923,BUENOS AIRES,GENERAL JUAN MADARIAGA,800,,,0
AVENA,1923,BUENOS AIRES,GENERAL LA MADRID,6400,6000,920,5520
AVENA,1923,BUENOS AIRES,GENERAL PAZ,860,850,930,790
AVENA,1923,BUENOS AIRES,GENERAL PINTO,7000,6000,1240,7440
AVENA,1923,BUENOS AIRES,GENERAL PUEYRREDON,2300,1500,1100,1650
AVENA,1923,BUENOS AIRES,GENERAL VIAMONTE,7000,6000,1200,7200
AVENA,1923,BUENOS AIRES,GENERAL VILLEGAS,10000,8000,900,7200
AVENA,1923,BUENOS AIRES,GUAMINI,12000,9800,1210,11858
AVENA,1923,BUENOS AIRES,JUNIN,6000,4800,1030,4944
AVENA,1923,BUENOS AIRES,LAPRIDA,5000,4200,1100,4620
AVENA,1923,BUENOS AIRES,LAS FLORES,1500,1000,1250,1250
AVENA,1923,BUENOS AIRES,LEANDRO N. ALEM,1400,900,950,855
AVENA,1923,BUENOS AIRES,LINCOLN,13200,12800,1160,14848
AVENA,1923,BUENOS AIRES,LOBERIA,12750,9500,1500,14250
AVENA,1923,BUENOS AIRES,LOBOS,2000,1600,980,1568
AVENA,1923,BUENOS AIRES,LUJAN,2500,1600,900,1440
AVENA,1923,BUENOS AIRES,MAGDALENA,1700,1300,950,1235
AVENA,1923,BUENOS AIRES,MAIPU,2300,1000,1000,1000
AVENA,1923,BUENOS AIRES,MAR CHIQUITA,1550,,,0
AVENA,1923,BUENOS AIRES,MERCEDES,1000,800,700,560
AVENA,1923,BUENOS AIRES,MONTE,1200,800,1110,888
AVENA,1923,BUENOS AIRES,NAVARRO,1000,670,1000,670
AVENA,1923,BUENOS AIRES,NECOCHEA,83600,66000,1591,105006
AVENA,1923,BUENOS AIRES,9 DE JULIO,12000,9500,1140,10830
AVENA,1923,BUENOS AIRES,OLAVARRIA,20500,18500,1340,24790
AVENA,1923,BUENOS AIRES,PATAGONES,2000,1000,930,930
AVENA,1923,BUENOS AIRES,PEHUAJO,16300,15130,1300,19669
AVENA,1923,BUENOS AIRES,PELLEGRINI,10000,8200,1020,8364
AVENA,1923,BUENOS AIRES,PERGAMINO,1500,800,930,744
AVENA,1923,BUENOS AIRES,PILAR,700,500,950,475
AVENA,1923,BUENOS AIRES,PUAN,14000,12150,995,12089
AVENA,1923,BUENOS AIRES,RAMALLO,500,370,790,292
AVENA,1923,BUENOS AIRES,RAUCH,3800,2900,1000,2900
AVENA,1923,BUENOS AIRES,RIVADAVIA,11000,10450,1250,13062
AVENA,1923,BUENOS AIRES,ROJAS,800,450,960,432
AVENA,1923,BUENOS AIRES,ROQUE PEREZ,1800,1600,1050,1680
AVENA,1923,BUENOS AIRES,SAAVEDRA,9000,7400,1237,9153
AVENA,1923,BUENOS AIRES,SALADILLO,3000,2400,1600,3840
AVENA,1923,BUENOS AIRES,SALTO,1200,500,670,335
AVENA,1923,BUENOS AIRES,SAN ANDRES DE GILES,800,600,870,522
AVENA,1923,BUENOS AIRES,SAN ANTONIO DE ARECO,2100,1200,870,1044
AVENA,1923,BUENOS AIRES,SAN NICOLAS,250,170,670,113
AVENA,1923,BUENOS AIRES,SAN PEDRO,600,70,670,46
AVENA,1923,BUENOS AIRES,SUIPACHA,1500,800,600,480
AVENA,1923,BUENOS AIRES,TANDIL,18300,16800,1194,20059
AVENA,1923,BUENOS AIRES,TAPALQUE,250,150,750,112
AVENA,1923,BUENOS AIRES,TORNQUIST,14000,12500,1300,16250
AVENA,1923,BUENOS AIRES,TRENQUE LAUQUEN,9000,7000,1070,7490
AVENA,1923,BUENOS AIRES,TRES ARROYOS,126300,110000,1660,182600
AVENA,1923,BUENOS AIRES,CASEROS,10300,8500,1200,10200
AVENA,1923,BUENOS AIRES,25 DE MAYO,12000,10200,1000,10200
AVENA,1923,BUENOS AIRES,VILLARINO,10000,8700,970,8439
AVENA,1923,BUENOS AIRES,ZARATE,500,300,1010,303
AVENA,1923,CORDOBA,CALAMUCHITA,700,,,0
AVENA,1923,CORDOBA,CAPITAL,700,,,0
AVENA,1923,CORDOBA,COLON,300,5,1280,6
AVENA,1923,CORDOBA,CRUZ DEL EJE,400,,,0
AVENA,1923,CORDOBA,GENERAL ROCA,10400,3958,1100,4353
AVENA,1923,CORDOBA,TERCERO ABAJO,6000,2352,1020,2399
AVENA,1923,CORDOBA,JUAREZ CELMAN,6500,2897,940,2723
AVENA,1923,CORDOBA,MARCOS JUAREZ,8000,3177,1240,3939
AVENA,1923,CORDOBA,RIO CUARTO,12000,5337,740,3949
AVENA,1923,CORDOBA,RIO PRIMERO,800,9,570,5
AVENA,1923,CORDOBA,RIO SEGUNDO,2500,538,500,269
AVENA,1923,CORDOBA,SAN JAVIER,100,,,0
AVENA,1923,CORDOBA,SAN JUSTO,4000,1419,800,1135
AVENA,1923,CORDOBA,SANTA MARIA,600,120,320,38
AVENA,1923,CORDOBA,TERCERO ARRIBA,4000,1264,870,1099
AVENA,1923,CORDOBA,TOTORAL,200,,,0
AVENA,1923,CORDOBA,UNION,7000,2135,730,1558
AVENA,1923,CORDOBA,OTROS DEPARTAMENTOS,800,29,800,23
AVENA,1923,ENTRE RIOS,COLON,5000,2811,530,1489
AVENA,1923,ENTRE RIOS,CONCORDIA,6000,2535,490,1242
AVENA,1923,ENTRE RIOS,DIAMANTE,3100,2776,700,1943
AVENA,1923,ENTRE RIOS,FEDERACION,200,4,620,2
AVENA,1923,ENTRE RIOS,GUALEGUAY,3000,1639,760,1245
AVENA,1923,ENTRE RIOS,GUALEGUAYCHU,12000,9893,790,7815
AVENA,1923,ENTRE RIOS,LA PAZ,2200,1026,600,615
AVENA,1923,ENTRE RIOS,NOGOYA,5400,4333,650,2816
AVENA,1923,ENTRE RIOS,PARANA,6800,6490,850,5516
AVENA,1923,ENTRE RIOS,TALA,5500,3879,680,2637
AVENA,1923,ENTRE RIOS,URUGUAY,9000,5935,770,4569
AVENA,1923,ENTRE RIOS,VICTORIA,2200,778,610,474
AVENA,1923,ENTRE RIOS,VILLAGUAY,8000,3917,690,2702
AVENA,1923,LA PAMPA,ATREUCO,5730,2209,740,1634
AVENA,1923,LA PAMPA,CAPITAL,3100,2886,920,2655
AVENA,1923,LA PAMPA,CATRILO,7800,6366,1031,6563
AVENA,1923,LA PAMPA,CONHELO,8400,4620,700,3234
AVENA,1923,LA PAMPA,CHAPALEUFU,2600,1784,730,1302
AVENA,1923,LA PAMPA,GUATRACHE,7030,3309,770,2547
AVENA,1923,LA PAMPA,HUCAL,5000,2111,660,1393
AVENA,1923,LA PAMPA,LOVENTUE,60,,,0
