cultivo,periodo,provincia,departamento,sup_sem_ha,sup_cos_ha,rend_kgxha,prod_ton
GIRASOL,1969,BUENOS AIRES,25 DE MAYO,30000,30000,750,22500
GIRASOL,1969,BUENOS AIRES,9 DE JULIO,50000,50000,826,41300
GIRASOL,1969,BUENOS AIRES,ADOLFO ALSINA,10000,10000,900,9000
GIRASOL,1969,BUENOS AIRES,ADOLFO GONZALES CHAVES,1500,1350,850,1147
GIRASOL,1969,BUENOS AIRES,ALBERTI,14000,14000,900,12600
GIRASOL,1969,BUENOS AIRES,ARRECIFES,2400,2250,1111,2499
GIRASOL,1969,BUENOS AIRES,AYACUCHO,14000,13300,650,8645
GIRASOL,1969,BUENOS AIRES,AZUL,11000,9900,750,7425
GIRASOL,1969,BUENOS AIRES,BALCARCE,3000,3000,900,2700
GIRASOL,1969,BUENOS AIRES,BARADERO,5500,5300,925,4902
GIRASOL,1969,BUENOS AIRES,BENITO JUAREZ,1500,1350,900,1215
GIRASOL,1969,BUENOS AIRES,BOLIVAR,34000,34000,1000,34000
GIRASOL,1969,BUENOS AIRES,BRAGADO,30000,30000,900,27000
GIRASOL,1969,BUENOS AIRES,BRANDSEN,500,470,800,376
GIRASOL,1969,BUENOS AIRES,CAMPANA,700,700,800,560
GIRASOL,1969,BUENOS AIRES,CANUELAS,1500,1450,850,1232
GIRASOL,1969,BUENOS AIRES,CAPITAN SARMIENTO,1500,1450,1103,1599
GIRASOL,1969,BUENOS AIRES,CARLOS CASARES,33000,33000,1000,33000
GIRASOL,1969,BUENOS AIRES,CARLOS TEJEDOR,20000,10000,730,7300
GIRASOL,1969,BUENOS AIRES,CARMEN DE ARECO,2500,2400,1208,2899
GIRASOL,1969,BUENOS AIRES,CASTELLI,3500,3500,714,2499
GIRASOL,1969,BUENOS AIRES,CHACABUCO,13000,13000,950,12350
GIRASOL,1969,BUENOS AIRES,CHASCOMUS,3500,3500,800,2800
GIRASOL,1969,BUENOS AIRES,CHIVILCOY,19000,19000,800,15200
GIRASOL,1969,BUENOS AIRES,COLON,2500,2500,900,2250
GIRASOL,1969,BUENOS AIRES,CORONEL DORREGO,1000,880,800,704
GIRASOL,1969,BUENOS AIRES,CORONEL PRINGLES,3000,2700,844,2278
GIRASOL,1969,BUENOS AIRES,CORONEL SUAREZ,27000,27000,1200,32400
GIRASOL,1969,BUENOS AIRES,DAIREAUX,9000,9000,1200,10800
GIRASOL,1969,BUENOS AIRES,DOLORES,2000,2000,700,1400
GIRASOL,1969,BUENOS AIRES,EXALTACION DE LA CRUZ,700,700,1000,700
GIRASOL,1969,BUENOS AIRES,GENERAL ALVARADO,3000,3000,967,2901
GIRASOL,1969,BUENOS AIRES,GENERAL ALVEAR,14000,14000,700,9800
GIRASOL,1969,BUENOS AIRES,GENERAL ARENALES,20000,20000,850,17000
GIRASOL,1969,BUENOS AIRES,GENERAL BELGRANO,8000,7500,850,6375
GIRASOL,1969,BUENOS AIRES,GENERAL GUIDO,1700,1700,765,1300
