cultivo,periodo,provincia,departamento,sup_sem_ha,sup_cos_ha,rend_kgxha,prod_ton
MAIZ,1923,BUENOS AIRES,25 DE MAYO,40000,40000,3000,120000
MAIZ,1923,BUENOS AIRES,9 DE JULIO,47000,47000,2857,134300
MAIZ,1923,BUENOS AIRES,ADOLFO ALSINA,22000,21990,864,19000
MAIZ,1923,BUENOS AIRES,ADOLFO GONZALES CHAVES,2100,2100,800,1680
MAIZ,1923,BUENOS AIRES,ALBERTI,23000,23000,2878,66200
MAIZ,1923,BUENOS AIRES,AYACUCHO,4900,4900,750,3675
MAIZ,1923,BUENOS AIRES,AZUL,6500,6498,831,5400
MAIZ,1923,BUENOS AIRES,BAHIA BLANCA,1000,1000,500,500
MAIZ,1923,BUENOS AIRES,BALCARCE,3000,3000,975,2925
MAIZ,1923,BUENOS AIRES,BARADERO,40000,40000,1920,76800
MAIZ,1923,BUENOS AIRES,BARTOLOME MITRE,69000,69000,1920,132480
MAIZ,1923,BUENOS AIRES,BENITO JUAREZ,2700,2700,700,1890
MAIZ,1923,BUENOS AIRES,BOLIVAR,42000,42000,2738,115000
MAIZ,1923,BUENOS AIRES,BRAGADO,32000,32000,3012,96400
MAIZ,1923,BUENOS AIRES,CAMPANA,4200,4200,1633,6860
MAIZ,1923,BUENOS AIRES,CANUELAS,4000,4000,1125,4500
MAIZ,1923,BUENOS AIRES,CARLOS CASARES,18000,18000,2880,51840
MAIZ,1923,BUENOS AIRES,CARLOS TEJEDOR,14000,13993,596,8340
MAIZ,1923,BUENOS AIRES,CARMEN DE ARECO,10500,10500,2400,25200
MAIZ,1923,BUENOS AIRES,CASEROS,15000,15000,860,12900
MAIZ,1923,BUENOS AIRES,CASTELLI,4490,4490,1237,5556
MAIZ,1923,BUENOS AIRES,CHACABUCO,30000,30000,2383,71500
MAIZ,1923,BUENOS AIRES,CHASCOMUS,5900,5899,1125,6637
MAIZ,1923,BUENOS AIRES,CHIVILCOY,38000,37996,3095,117600
MAIZ,1923,BUENOS AIRES,COLON,24000,24000,2880,69120
MAIZ,1923,BUENOS AIRES,CORONEL DORREGO,4000,4000,800,3200
MAIZ,1923,BUENOS AIRES,CORONEL PRINGLES,1200,1200,500,600
MAIZ,1923,BUENOS AIRES,CORONEL SUAREZ,15000,15000,768,11520
MAIZ,1923,BUENOS AIRES,DOLORES,2500,2500,1120,2800
MAIZ,1923,BUENOS AIRES,EXALTACION DE LA CRUZ,8000,8000,2400,19200
MAIZ,1923,BUENOS AIRES,GENERAL ALVARADO,2750,2750,728,2002
MAIZ,1923,BUENOS AIRES,GENERAL ALVEAR,5000,5000,1200,6000
MAIZ,1923,BUENOS AIRES,GENERAL ARENALES,55000,54992,2113,116200
MAIZ,1923,BUENOS AIRES,GENERAL BELGRANO,4300,4300,840,3612
MAIZ,1923,BUENOS AIRES,GENERAL GUIDO,1230,1230,972,1196
MAIZ,1923,BUENOS AIRES,GENERAL JUAN MADARIAGA,1000,1000,780,780
MAIZ,1923,BUENOS AIRES,GENERAL LA MADRID,2200,2200,700,1540
MAIZ,1923,BUENOS AIRES,GENERAL LAVALLE,1000,1000,600,600
MAIZ,1923,BUENOS AIRES,GENERAL PAZ,3200,3200,980,3136
MAIZ,1923,BUENOS AIRES,GENERAL PINTO,20000,20000,1720,34400
MAIZ,1923,BUENOS AIRES,GENERAL PUEYRREDON,2500,2500,1020,2550
MAIZ,1923,BUENOS AIRES,GENERAL VIAMONTE,23000,22996,2630,60480
MAIZ,1923,BUENOS AIRES,GENERAL VILLEGAS,27000,26998,873,23570
MAIZ,1923,BUENOS AIRES,GUAMINI,10000,10000,864,8640
MAIZ,1923,BUENOS AIRES,JUNIN,30000,30000,2400,72000
MAIZ,1923,BUENOS AIRES,LA PLATA,2200,2200,910,2002
MAIZ,1923,BUENOS AIRES,LAPRIDA,1500,1500,700,1050
MAIZ,1923,BUENOS AIRES,LAS FLORES,15000,14994,867,13000
MAIZ,1923,BUENOS AIRES,LEANDRO N. ALEM,6500,6499,2111,13720
MAIZ,1923,BUENOS AIRES,LINCOLN,40000,40000,3360,134400
MAIZ,1923,BUENOS AIRES,LOBERIA,3540,3538,780,2760
MAIZ,1923,BUENOS AIRES,LOBOS,11000,11000,2618,28800
MAIZ,1923,BUENOS AIRES,LUJAN,8700,8699,3292,28640
MAIZ,1923,BUENOS AIRES,MAGDALENA,4700,4700,980,4606
MAIZ,1923,BUENOS AIRES,MAIPU,1800,1800,1050,1890
MAIZ,1923,BUENOS AIRES,MAR CHIQUITA,1500,1500,750,1125
MAIZ,1923,BUENOS AIRES,MERCEDES,4000,4000,2985,11940
MAIZ,1923,BUENOS AIRES,MONTE,4800,4800,1125,5400
MAIZ,1923,BUENOS AIRES,NAVARRO,8000,8000,2880,23040
MAIZ,1923,BUENOS AIRES,NECOCHEA,7900,7894,623,4918
MAIZ,1923,BUENOS AIRES,OLAVARRIA,5400,5400,1000,5400
MAIZ,1923,BUENOS AIRES,OTROS PARTIDOS,11500,11500,1920,22080
MAIZ,1923,BUENOS AIRES,PATAGONES,1000,1000,400,400
MAIZ,1923,BUENOS AIRES,PEHUAJO,28000,28000,2400,67200
MAIZ,1923,BUENOS AIRES,PELLEGRINI,24000,24000,480,11520
MAIZ,1923,BUENOS AIRES,PERGAMINO,110000,109986,2864,315000
MAIZ,1923,BUENOS AIRES,PILA,3000,3000,1125,3375
MAIZ,1923,BUENOS AIRES,PILAR,9000,9000,1733,15600
MAIZ,1923,BUENOS AIRES,PUAN,15000,15000,673,10100
MAIZ,1923,BUENOS AIRES,QUILMES,230,230,960,221
MAIZ,1923,BUENOS AIRES,RAMALLO,57000,57000,1920,109440
MAIZ,1923,BUENOS AIRES,RAUCH,3300,3300,1050,3465
MAIZ,1923,BUENOS AIRES,RIVADAVIA,21000,21000,549,11530
MAIZ,1923,BUENOS AIRES,ROJAS,47000,47000,2879,135320
MAIZ,1923,BUENOS AIRES,ROQUE PEREZ,9000,9000,1911,17200
MAIZ,1923,BUENOS AIRES,SAAVEDRA,5000,5000,500,2500
MAIZ,1923,BUENOS AIRES,SALADILLO,22500,22500,1702,38300
MAIZ,1923,BUENOS AIRES,SALTO,40000,40000,2208,88320
MAIZ,1923,BUENOS AIRES,SAN ANDRES DE GILES,16000,16000,1920,30720
MAIZ,1923,BUENOS AIRES,SAN ANTONIO DE ARECO,15000,15000,2880,43200
MAIZ,1923,BUENOS AIRES,SAN NICOLAS,29000,29000,2400,69600
MAIZ,1923,BUENOS AIRES,SAN PEDRO,56000,55995,2402,134500
MAIZ,1923,BUENOS AIRES,SAN VICENTE,3000,3000,1125,3375
MAIZ,1923,BUENOS AIRES,SUIPACHA,4800,4800,3225,15480
MAIZ,1923,BUENOS AIRES,TANDIL,4100,4100,440,1804
MAIZ,1923,BUENOS AIRES,TAPALQUE,2500,2500,960,2400
MAIZ,1923,BUENOS AIRES,TORDILLO,1500,1497,975,1460
MAIZ,1923,BUENOS AIRES,TORNQUIST,4000,4000,500,2000
MAIZ,1923,BUENOS AIRES,TRENQUE LAUQUEN,25000,24989,481,12020
MAIZ,1923,BUENOS AIRES,TRES ARROYOS,5000,5000,850,4250
MAIZ,1923,BUENOS AIRES,VILLARINO,2000,2000,500,1000
MAIZ,1923,BUENOS AIRES,ZARATE,20000,20000,1730,34600
MAIZ,1923,CATAMARCA,,6000,6000,2000,12000
MAIZ,1923,CHACO,,47000,47000,2000,94000
MAIZ,1923,CORDOBA,GENERAL ROCA,42000,42000,814,34200
MAIZ,1923,CORDOBA,JUAREZ CELMAN,85000,84985,1412,120000
MAIZ,1923,CORDOBA,MARCOS JUAREZ,121000,121000,1950,236000
MAIZ,1923,CORDOBA,OTROS DEPARTAMENTOS,50100,50000,210,10500
MAIZ,1923,CORDOBA,RIO CUARTO,65000,65000,692,45000
MAIZ,1923,CORDOBA,RIO SEGUNDO,70000,70000,1207,84500
MAIZ,1923,CORDOBA,SAN JUSTO,25000,25000,700,17500
MAIZ,1923,CORDOBA,TERCERO ABAJO,31000,31000,774,24000
MAIZ,1923,CORDOBA,TERCERO ARRIBA,40000,40000,720,28800
MAIZ,1923,CORDOBA,UNION,80000,80000,1406,112500
MAIZ,1923,CORRIENTES,,52000,51985,1385,72000
MAIZ,1923,ENTRE RIOS,COLON,6600,6598,1523,10050
MAIZ,1923,ENTRE RIOS,CONCORDIA,4800,4800,1212,5820
MAIZ,1923,ENTRE RIOS,DIAMANTE,6700,6700,1319,8840
MAIZ,1923,ENTRE RIOS,FEDERACION,14600,14600,1400,20440
MAIZ,1923,ENTRE RIOS,FELICIANO,2200,2200,811,1785
MAIZ,1923,ENTRE RIOS,GUALEGUAY,4000,4000,1640,6560
MAIZ,1923,ENTRE RIOS,GUALEGUAYCHU,6950,6947,1612,11200
MAIZ,1923,ENTRE RIOS,LA PAZ,4300,4300,1423,6120
MAIZ,1923,ENTRE RIOS,NOGOYA,7600,7599,1812,13770
MAIZ,1923,ENTRE RIOS,PARANA,15550,15550,1495,23250
MAIZ,1923,ENTRE RIOS,TALA,4400,4400,1517,6675
MAIZ,1923,ENTRE RIOS,URUGUAY,11300,11299,1816,20520
MAIZ,1923,ENTRE RIOS,VICTORIA,5300,5299,934,4950
MAIZ,1923,ENTRE RIOS,VILLAGUAY,16700,16700,1498,25020
MAIZ,1923,FORMOSA,,2700,2700,1000,2700
MAIZ,1923,JUJUY,,15000,15000,2000,30000
MAIZ,1923,LA PAMPA,ATREUCO,6000,6000,600,3600
MAIZ,1923,LA PAMPA,CAPITAL,11000,11000,700,7700
MAIZ,1923,LA PAMPA,CATRILO,9000,9000,400,3600
MAIZ,1923,LA PAMPA,CHAPALEUFU,8000,8000,700,5600
MAIZ,1923,LA PAMPA,CONHELO,18000,18000,600,10800
MAIZ,1923,LA PAMPA,GUATRACHE,8000,8000,600,4800
MAIZ,1923,LA PAMPA,HUCAL,3000,2538,591,1500
MAIZ,1923,LA PAMPA,LOVENTUE,3000,3000,590,1770
MAIZ,1923,LA PAMPA,MARACO,5000,5000,300,1500
MAIZ,1923,LA PAMPA,OTROS DEPARTAMENTOS,2000,2000,695,1390
MAIZ,1923,LA PAMPA,QUEMU QUEMU,12000,12000,400,4800
MAIZ,1923,LA PAMPA,RANCUL,3300,3300,700,2310
MAIZ,1923,LA PAMPA,REALICO,7000,7000,700,4900
MAIZ,1923,LA PAMPA,TOAY,6000,6000,700,4200
MAIZ,1923,LA PAMPA,TRENEL,12000,12000,590,7080
MAIZ,1923,LA PAMPA,UTRACAN,3500,3500,700,2450
MAIZ,1923,LA RIOJA,,5000,5000,1850,9250
MAIZ,1923,MENDOZA,,35000,35000,1900,66500
MAIZ,1923,MISIONES,,22000,22000,1000,22000
MAIZ,1923,NEUQUEN,,485,485,1000,485
MAIZ,1923,RIO NEGRO,,3200,3200,1200,3840
MAIZ,1923,SALTA,,32005,32002,1910,61125
MAIZ,1923,SAN JUAN,,8000,8000,1900,15200
MAIZ,1923,SAN LUIS,,36000,36000,1600,57600
MAIZ,1923,SANTA FE,9 DE JULIO,1500,1500,2000,3000
MAIZ,1923,SANTA FE,BELGRANO,45000,45000,3000,135000
MAIZ,1923,SANTA FE,CASEROS,107000,107000,3000,321000
MAIZ,1923,SANTA FE,CASTELLANOS,11000,11000,1500,16500
