cultivo,periodo,provincia,departamento,sup_sem_ha,sup_cos_ha,rend_kgxha,prod_ton
MAIZ,1923,BUENOS AIRES,25 DE MAYO,40000,40000.0,3000.0,120000.0
MAIZ,1923,BUENOS AIRES,9 DE JULIO,47000,47000.0,2857.0,134300.0
MAIZ,1923,BUENOS AIRES,ADOLFO ALSINA,22000,21990.0,864.0,19000.0
MAIZ,1923,BUENOS AIRES,ADOLFO GONZALES CHAVES,2100,2100.0,800.0,1680.0
MAIZ,1923,BUENOS AIRES,ALBERTI,23000,23000.0,2878.0,66200.0
MAIZ,1923,BUENOS AIRES,AYACUCHO,4900,4900.0,750.0,3675.0
MAIZ,1923,BUENOS AIRES,AZUL,6500,6498.0,831.0,5400.0
MAIZ,1923,BUENOS AIRES,BAHIA BLANCA,1000,1000.0,500.0,500.0
MAIZ,1923,BUENOS AIRES,BALCARCE,3000,3000.0,975.0,2925.0
MAIZ,1923,BUENOS AIRES,BARADERO,40000,40000.0,1920.0,76800.0
MAIZ,1923,BUENOS AIRES,BARTOLOME MITRE,69000,69000.0,1920.0,132480.0
MAIZ,1923,BUENOS AIRES,BENITO JUAREZ,2700,2700.0,700.0,1890.0
MAIZ,1923,BUENOS AIRES,BOLIVAR,42000,42000.0,2738.0,115000.0
MAIZ,1923,BUENOS AIRES,BRAGADO,32000,32000.0,3012.0,96400.0
MAIZ,1923,BUENOS AIRES,CAMPANA,4200,4200.0,1633.0,6860.0
MAIZ,1923,BUENOS AIRES,CANUELAS,4000,4000.0,1125.0,4500.0
MAIZ,1923,BUENOS AIRES,CARLOS CASARES,18000,18000.0,2880.0,51840.0
MAIZ,1923,BUENOS AIRES,CARLOS TEJEDOR,14000,13993.0,596.0,8340.0
MAIZ,1923,BUENOS AIRES,CARMEN DE ARECO,10500,10500.0,2400.0,25200.0
MAIZ,1923,BUENOS AIRES,CASEROS,15000,15000.0,860.0,12900.0
MAIZ,1923,BUENOS AIRES,CASTELLI,4490,4490.0,1237.0,5556.0
MAIZ,1923,BUENOS AIRES,CHACABUCO,30000,30000.0,2383.0,71500.0
MAIZ,1923,BUENOS AIRES,CHASCOMUS,5900,5899.0,1125.0,6637.0
MAIZ,1923,BUENOS AIRES,CHIVILCOY,38000,37996.0,3095.0,117600.0
MAIZ,1923,BUENOS AIRES,COLON,24000,24000.0,2880.0,69120.0
MAIZ,1923,BUENOS AIRES,CORONEL DORREGO,4000,4000.0,800.0,3200.0
MAIZ,1923,BUENOS AIRES,CORONEL PRINGLES,1200,1200.0,500.0,600.0
MAIZ,1923,BUENOS AIRES,CORONEL SUAREZ,15000,15000.0,768.0,11520.0
MAIZ,1923,BUENOS AIRES,DOLORES,2500,2500.0,1120.0,2800.0
MAIZ,1923,BUENOS AIRES,EXALTACION DE LA CRUZ,8000,8000.0,2400.0,19200.0
MAIZ,1923,BUENOS AIRES,GENERAL ALVARADO,2750,2750.0,728.0,2002.0
MAIZ,1923,BUENOS AIRES,GENERAL ALVEAR,5000,5000.0,1200.0,6000.0
MAIZ,1923,BUENOS AIRES,GENERAL ARENALES,55000,54992.0,2113.0,116200.0
MAIZ,1923,BUENOS AIRES,GENERAL BELGRANO,4300,4300.0,840.0,3612.0
MAIZ,1923,BUENOS AIRES,GENERAL GUIDO,1230,1230.0,972.0,1196.0
MAIZ,1923,BUENOS AIRES,GENERAL JUAN MADARIAGA,1000,1000.0,780.0,780.0
MAIZ,1923,BUENOS AIRES,GENERAL LA MADRID,2200,2200.0,700.0,1540.0
MAIZ,1923,BUENOS AIRES,GENERAL LAVALLE,1000,1000.0,600.0,600.0
MAIZ,1923,BUENOS AIRES,GENERAL PAZ,3200,3200.0,980.0,3136.0
MAIZ,1923,BUENOS AIRES,GENERAL PINTO,20000,20000.0,1720.0,34400.0
MAIZ,1923,BUENOS AIRES,GENERAL PUEYRREDON,2500,2500.0,1020.0,2550.0
MAIZ,1923,BUENOS AIRES,GENERAL VIAMONTE,23000,22996.0,2630.0,60480.0
MAIZ,1923,BUENOS AIRES,GENERAL VILLEGAS,27000,26998.0,873.0,23570.0
MAIZ,1923,BUENOS AIRES,GUAMINI,10000,10000.0,864.0,8640.0
MAIZ,1923,BUENOS AIRES,JUNIN,30000,30000.0,2400.0,72000.0
MAIZ,1923,BUENOS AIRES,LA PLATA,2200,2200.0,910.0,2002.0
MAIZ,1923,BUENOS AIRES,LAPRIDA,1500,1500.0,700.0,1050.0
MAIZ,1923,BUENOS AIRES,LAS FLORES,15000,14994.0,867.0,13000.0
MAIZ,1923,BUENOS AIRES,LEANDRO N. ALEM,6500,6499.0,2111.0,13720.0
MAIZ,1923,BUENOS AIRES,LINCOLN,40000,40000.0,3360.0,134400.0
MAIZ,1923,BUENOS AIRES,LOBERIA,3540,3538.0,780.0,2760.0
MAIZ,1923,BUENOS AIRES,LOBOS,11000,11000.0,2618.0,28800.0
MAIZ,1923,BUENOS AIRES,LUJAN,8700,8699.0,3292.0,28640.0
MAIZ,1923,BUENOS AIRES,MAGDALENA,4700,4700.0,980.0,4606.0
MAIZ,1923,BUENOS AIRES,MAIPU,1800,1800.0,1050.0,1890.0
MAIZ,1923,BUENOS AIRES,MAR CHIQUITA,1500,1500.0,750.0,1125.0
MAIZ,1923,BUENOS AIRES,MERCEDES,4000,4000.0,2985.0,11940.0
MAIZ,1923,BUENOS AIRES,MONTE,4800,4800.0,1125.0,5400.0
MAIZ,1923,BUENOS AIRES,NAVARRO,8000,8000.0,2880.0,23040.0
MAIZ,1923,BUENOS AIRES,NECOCHEA,7900,7894.0,623.0,4918.0
MAIZ,1923,BUENOS AIRES,OLAVARRIA,5400,5400.0,1000.0,5400.0
MAIZ,1923,BUENOS AIRES,PATAGONES,1000,1000.0,400.0,400.0
MAIZ,1923,BUENOS AIRES,PEHUAJO,28000,28000.0,2400.0,67200.0
MAIZ,1923,BUENOS AIRES,PELLEGRINI,24000,24000.0,480.0,11520.0
MAIZ,1923,BUENOS AIRES,PERGAMINO,110000,109986.0,2864.0,315000.0
