cultivo,periodo,provincia,departamento,sup_sem_ha,sup_cos_ha,rend_kgxha,prod_ton
POROTO,1969,BUENOS AIRES,CHACABUCO,10,10,1200,12
POROTO,1969,BUENOS AIRES,CHIVILCOY,4,4,1000,4
POROTO,1969,BUENOS AIRES,GENERAL ARENALES,1,1,1000,1
POROTO,1969,BUENOS AIRES,JUNIN,1,1,1000,1
POROTO,1969,BUENOS AIRES,MERCEDES,64,64,1266,81
POROTO,1969,BUENOS AIRES,PATAGONES,10,10,2700,27
POROTO,1969,BUENOS AIRES,VILLARINO,20,20,2700,54
POROTO,1969,CATAMARCA,AMBATO,12,12,1000,12
POROTO,1969,CATAMARCA,ANDALGALA,62,60,900,54
POROTO,1969,CATAMARCA,BELEN,67,60,900,54
POROTO,1969,CATAMARCA,CAPAYAN,5,5,1000,5
POROTO,1969,CATAMARCA,EL ALTO,13,13,1000,13
POROTO,1969,CATAMARCA,FRAY MAMERTO ESQUIU,6,6,1000,6
POROTO,1969,CATAMARCA,PACLIN,18,18,944,16
POROTO,1969,CATAMARCA,POMAN,9,9,1000,9
POROTO,1969,CATAMARCA,SANTA MARIA,4,4,1000,4
POROTO,1969,CATAMARCA,SANTA ROSA,6,6,1000,6
POROTO,1969,CATAMARCA,TINOGASTA,7,7,1000,7
POROTO,1969,CHUBUT,ESCALANTE,18,18,611,10
POROTO,1969,CHUBUT,GAIMAN,50,50,680,34
POROTO,1969,CHUBUT,RAWSON,15,15,600,9
POROTO,1969,CHUBUT,RIO SENGUER,6,6,500,3
POROTO,1969,CHUBUT,SARMIENTO,26,22,591,13
POROTO,1969,CORDOBA,CALAMUCHITA,170,137,197,26
POROTO,1969,CORDOBA,CAPITAL,25,13,231,3
POROTO,1969,CORDOBA,CRUZ DEL EJE,150,80,200,16
POROTO,1969,CORDOBA,RIO PRIMERO,255,130,200,26
POROTO,1969,CORDOBA,SANTA MARIA,9000,4500,206,927
POROTO,1969,FORMOSA,FORMOSA,10,5,1000,5
POROTO,1969,FORMOSA,LAISHI,20,15,1000,15
POROTO,1969,FORMOSA,PATINO,5,0,0,0
POROTO,1969,FORMOSA,PILAGAS,10,5,1000,5
POROTO,1969,FORMOSA,PILCOMAYO,25,15,1200,18
POROTO,1969,FORMOSA,PIRANE,35,25,1000,25
POROTO,1969,JUJUY,EL CARMEN,500,500,1000,500
POROTO,1969,JUJUY,SAN ANTONIO,15,15,1000,15
POROTO,1969,JUJUY,TILCARA,10,10,1000,10
POROTO,1969,JUJUY,TUMBAYA,10,10,1000,10
POROTO,1969,JUJUY,VALLE GRANDE,13,13,1000,13
POROTO,1969,MENDOZA,GENERAL ALVEAR,40,40,1200,48
POROTO,1969,MENDOZA,JUNIN,8,8,1250,10
POROTO,1969,MENDOZA,LUJAN DE CUYO,15,15,1467,22
POROTO,1969,MENDOZA,MAIPU,18,18,1000,18
POROTO,1969,MENDOZA,RIVADAVIA,10,10,1300,13
POROTO,1969,MENDOZA,SAN CARLOS,12,12,1500,18
POROTO,1969,MENDOZA,SAN MARTIN,6,6,1333,7
POROTO,1969,MENDOZA,SAN RAFAEL,160,160,1181,188
POROTO,1969,MENDOZA,TUNUYAN,25,25,1480,37
POROTO,1969,MENDOZA,TUPUNGATO,66,66,1470,97
POROTO,1969,MISIONES,25 DE MAYO,44,42,952,39
POROTO,1969,MISIONES,APOSTOLES,85,81,840,68
POROTO,1969,MISIONES,CAINGUAS,95,90,1067,96
POROTO,1969,MISIONES,CANDELARIA,100,95,853,81
POROTO,1969,MISIONES,CAPITAL,18,17,882,14
POROTO,1969,MISIONES,CONCEPCION,44,42,929,39
POROTO,1969,MISIONES,ELDORADO,95,90,967,87
POROTO,1969,MISIONES,GENERAL MANUEL BELGRANO,75,72,986,70
POROTO,1969,MISIONES,GUARANI,30,29,1000,29
POROTO,1969,MISIONES,IGUAZU,125,119,950,113
POROTO,1969,MISIONES,LEANDRO N. ALEM,43,41,951,38
POROTO,1969,MISIONES,LIBERTADOR GENERAL SAN MARTIN,120,114,930,106
POROTO,1969,MISIONES,MONTECARLO,110,105,924,97
POROTO,1969,MISIONES,OBERA,190,181,895,161
POROTO,1969,MISIONES,SAN IGNACIO,235,225,862,193
POROTO,1969,MISIONES,SAN JAVIER,66,63,794,50
POROTO,1969,MISIONES,SAN PEDRO,15,14,929,13
POROTO,1969,NEUQUEN,CONFLUENCIA,5,3,1000,3
POROTO,1969,NEUQUEN,MINAS,7,7,1000,7
POROTO,1969,RIO NEGRO,GENERAL ROCA,4,4,1250,5
POROTO,1969,SALTA,ANTA,1000,1000,1100,1100
POROTO,1969,SALTA,CACHI,400,400,1500,600
POROTO,1969,SALTA,CAPITAL,40,40,1100,44
POROTO,1969,SALTA,CERRILLOS,1500,1500,1000,1500
POROTO,1969,SALTA,CHICOANA,600,600,1000,600
POROTO,1969,SALTA,GENERAL GUEMES,200,200,1000,200
POROTO,1969,SALTA,LA CALDERA,30,30,1000,30
POROTO,1969,SALTA,LA CANDELARIA,2000,2000,1000,2000
POROTO,1969,SALTA,LA VINA,60,60,1000,60
POROTO,1969,SALTA,METAN,8000,8000,1000,8000
POROTO,1969,SALTA,ROSARIO DE LA FRONTERA,18000,18000,1100,19800
POROTO,1969,SALTA,ROSARIO DE LERMA,530,530,1445,765
POROTO,1969,SAN JUAN,ALBARDON,2,2,1500,3
POROTO,1969,SAN JUAN,IGLESIA,38,38,1316,50
POROTO,1969,SAN JUAN,POCITO,6,6,1500,9
POROTO,1969,SAN JUAN,RAWSON,31,31,1387,42
POROTO,1969,SAN JUAN,VALLE FERTIL,3,3,1667,5
POROTO,1969,SAN LUIS,AYACUCHO,26,18,833,14
POROTO,1969,SAN LUIS,CHACABUCO,15,8,750,6
POROTO,1969,SAN LUIS,CORONEL PRINGLES,10,6,667,4
POROTO,1969,SAN LUIS,GENERAL PEDERNERA,16,10,800,8
POROTO,1969,SAN LUIS,JUAN MARTIN DE PUEYRREDON,20,14,1000,14
POROTO,1969,SAN LUIS,JUNIN,8,4,750,3
POROTO,1969,TUCUMAN,CRUZ ALTA,100,100,800,80
POROTO,1969,TUCUMAN,TRANCAS,900,900,689,620
POROTO,1970,BUENOS AIRES,CHACABUCO,6,6,1167,7
POROTO,1970,BUENOS AIRES,CHIVILCOY,3,3,1333,3
POROTO,1970,BUENOS AIRES,GENERAL ARENALES,1,1,1000,1
POROTO,1970,BUENOS AIRES,JUNIN,1,1,1000,1
POROTO,1970,BUENOS AIRES,MERCEDES,60,60,1200,72
POROTO,1970,BUENOS AIRES,PATAGONES,15,15,3000,45
POROTO,1970,BUENOS AIRES,VILLARINO,20,20,3000,60
POROTO,1970,CATAMARCA,AMBATO,9,9,778,7
POROTO,1970,CATAMARCA,ANDALGALA,58,58,707,41
POROTO,1970,CATAMARCA,BELEN,60,60,683,40
POROTO,1970,CATAMARCA,CAPAYAN,4,4,750,3
POROTO,1970,CATAMARCA,EL ALTO,11,11,727,7
POROTO,1970,CATAMARCA,FRAY MAMERTO ESQUIU,4,4,750,3
POROTO,1970,CATAMARCA,PACLIN,15,15,733,10
POROTO,1970,CATAMARCA,POMAN,7,7,714,4
POROTO,1970,CATAMARCA,SANTA MARIA,4,4,750,3
POROTO,1970,CATAMARCA,SANTA ROSA,3,3,667,2
POROTO,1970,CATAMARCA,TINOGASTA,5,5,800,4
POROTO,1970,CORDOBA,CALAMUCHITA,440,392,949,372
POROTO,1970,CORDOBA,CAPITAL,50,38,947,35
POROTO,1970,CORDOBA,CRUZ DEL EJE,180,155,903,139
POROTO,1970,CORDOBA,RIO PRIMERO,500,465,951,442
POROTO,1970,CORDOBA,SANTA MARIA,12000,11200,947,10606
POROTO,1970,FORMOSA,FORMOSA,12,10,1000,10
POROTO,1970,FORMOSA,LAISHI,22,22,1364,30
POROTO,1970,FORMOSA,PATINO,7,5,1000,5
POROTO,1970,FORMOSA,PILAGAS,16,11,1000,11
POROTO,1970,FORMOSA,PILCOMAYO,33,22,1136,24
POROTO,1970,FORMOSA,PIRANE,40,40,1375,55
POROTO,1970,JUJUY,EL CARMEN,400,400,800,320
