cultivo,periodo,provincia,departamento,sup_sem_ha,sup_cos_ha,rend_kgxha,prod_ton
SORGO,1969,BUENOS AIRES,25 DE MAYO,3000,3000,3400,10200
SORGO,1969,BUENOS AIRES,9 DE JULIO,11000,11000,3700,40700
SORGO,1969,BUENOS AIRES,ADOLFO ALSINA,7000,7000,2400,16800
SORGO,1969,BUENOS AIRES,ALBERTI,2200,2200,3600,7920
SORGO,1969,BUENOS AIRES,ARRECIFES,2200,2000,3500,7000
SORGO,1969,BUENOS AIRES,AZUL,5000,750,3500,2625
SORGO,1969,BUENOS AIRES,BAHIA BLANCA,2000,0,0,0
SORGO,1969,BUENOS AIRES,BARADERO,2700,2450,3400,8330
SORGO,1969,BUENOS AIRES,BOLIVAR,4000,4000,3300,13200
SORGO,1969,BUENOS AIRES,BRAGADO,2500,2500,3500,8750
SORGO,1969,BUENOS AIRES,BRANDSEN,200,110,3000,330
SORGO,1969,BUENOS AIRES,CANUELAS,400,280,3000,840
SORGO,1969,BUENOS AIRES,CAPITAN SARMIENTO,1600,1400,3700,5180
SORGO,1969,BUENOS AIRES,CARLOS CASARES,5500,5500,3300,18150
SORGO,1969,BUENOS AIRES,CARLOS TEJEDOR,8000,5000,1680,8400
SORGO,1969,BUENOS AIRES,CARMEN DE ARECO,3400,3100,3800,11780
SORGO,1969,BUENOS AIRES,CHACABUCO,5000,5000,4000,20000
SORGO,1969,BUENOS AIRES,CHASCOMUS,1000,0,0,0
SORGO,1969,BUENOS AIRES,CHIVILCOY,4400,4400,3600,15840
SORGO,1969,BUENOS AIRES,COLON,2100,2100,4000,8400
SORGO,1969,BUENOS AIRES,CORONEL DE MARINA LEONARDO ROSALES,1000,0,0,0
SORGO,1969,BUENOS AIRES,CORONEL DORREGO,1200,100,1000,100
SORGO,1969,BUENOS AIRES,CORONEL PRINGLES,4500,400,1100,440
SORGO,1969,BUENOS AIRES,CORONEL SUAREZ,20000,20000,3000,60000
SORGO,1969,BUENOS AIRES,DAIREAUX,6000,6000,2000,12000
SORGO,1969,BUENOS AIRES,EXALTACION DE LA CRUZ,4000,4000,3000,12000
SORGO,1969,BUENOS AIRES,GENERAL ALVEAR,1500,1500,3200,4800
SORGO,1969,BUENOS AIRES,GENERAL ARENALES,1500,1500,4000,6000
SORGO,1969,BUENOS AIRES,GENERAL BELGRANO,800,540,3319,1792
SORGO,1969,BUENOS AIRES,GENERAL LA MADRID,22000,22000,2800,61600
SORGO,1969,BUENOS AIRES,GENERAL PAZ,600,330,3000,990
SORGO,1969,BUENOS AIRES,GENERAL PINTO,16000,16000,2638,42208
SORGO,1969,BUENOS AIRES,GENERAL VIAMONTE,6500,6500,4200,27300
SORGO,1969,BUENOS AIRES,GENERAL VILLEGAS,35000,15000,2400,36000
SORGO,1969,BUENOS AIRES,GUAMINI,12000,12000,2000,24000
SORGO,1969,BUENOS AIRES,HIPOLITO YRIGOYEN,5000,5000,3000,15000
SORGO,1969,BUENOS AIRES,JUNIN,4000,4000,4200,16800
SORGO,1969,BUENOS AIRES,LA PLATA,400,160,2800,448
SORGO,1969,BUENOS AIRES,LAS FLORES,2500,375,2499,937
SORGO,1969,BUENOS AIRES,LEANDRO N. ALEM,6000,6000,3700,22200
SORGO,1969,BUENOS AIRES,LINCOLN,10000,10000,3800,38000
SORGO,1969,BUENOS AIRES,LOBOS,1000,450,3000,1350
SORGO,1969,BUENOS AIRES,LUJAN,1300,1300,2500,3250
SORGO,1969,BUENOS AIRES,MAGDALENA,600,240,3000,720
SORGO,1969,BUENOS AIRES,MARCOS PAZ,200,90,3000,270
SORGO,1969,BUENOS AIRES,MERCEDES,2100,1330,2900,3857
SORGO,1969,BUENOS AIRES,MONTE,2500,880,3000,2640
SORGO,1969,BUENOS AIRES,NAVARRO,2500,1380,3000,4140
SORGO,1969,BUENOS AIRES,OLAVARRIA,4000,4000,4000,16000
SORGO,1969,BUENOS AIRES,PATAGONES,500,0,0,0
SORGO,1969,BUENOS AIRES,PEHUAJO,12000,12000,3000,36000
SORGO,1969,BUENOS AIRES,PELLEGRINI,17000,17000,2000,34000
SORGO,1969,BUENOS AIRES,PERGAMINO,4000,3600,3600,12960
SORGO,1969,BUENOS AIRES,PUAN,4000,0,0,0
SORGO,1969,BUENOS AIRES,RAMALLO,3500,3200,3400,10880
SORGO,1969,BUENOS AIRES,RIVADAVIA,20000,10000,1680,16800
SORGO,1969,BUENOS AIRES,ROJAS,2800,2800,4500,12600
SORGO,1969,BUENOS AIRES,ROQUE PEREZ,3200,1340,2800,3752
SORGO,1969,BUENOS AIRES,SAAVEDRA,7000,7000,3000,21000
SORGO,1969,BUENOS AIRES,SALADILLO,2000,2000,3300,6600
SORGO,1969,BUENOS AIRES,SALLIQUELO,11000,11000,2500,27500
SORGO,1969,BUENOS AIRES,SALTO,2700,2400,3900,9360
SORGO,1969,BUENOS AIRES,SAN ANDRES DE GILES,2500,2500,3500,8750
SORGO,1969,BUENOS AIRES,SAN ANTONIO DE ARECO,2300,2050,3900,7995
SORGO,1969,BUENOS AIRES,SAN NICOLAS,1700,1500,3600,5400
SORGO,1969,BUENOS AIRES,SAN PEDRO,3800,3400,3500,11900
SORGO,1969,BUENOS AIRES,SAN VICENTE,70,0,0,0
SORGO,1969,BUENOS AIRES,SUIPACHA,1400,830,2900,2407
SORGO,1969,BUENOS AIRES,TAPALQUE,3000,300,2200,660
SORGO,1969,BUENOS AIRES,TORNQUIST,5000,0,0,0
SORGO,1969,BUENOS AIRES,TRENQUE LAUQUEN,15000,9000,1966,17694
SORGO,1969,BUENOS AIRES,VILLARINO,1500,0,0,0
SORGO,1969,BUENOS AIRES,ZARATE,2200,2200,2000,4400
SORGO,1969,CHACO,12 DE OCTUBRE,26000,13000,1308,17004
SORGO,1969,CHACO,25 DE MAYO,9000,7700,1948,14999
