cultivo,periodo,provincia,departamento,sup_sem_ha,sup_cos_ha,rend_kgxha,prod_ton
TRIGO,1927,BUENOS AIRES,ADOLFO ALSINA,107000,105000,870,91350
TRIGO,1927,BUENOS AIRES,ADOLFO GONZALES CHAVES,42000,42000,950,39900
TRIGO,1927,BUENOS AIRES,ALBERTI,35000,35000,1592,55720
TRIGO,1927,BUENOS AIRES,ALMIRANTE BROWN,15,15,1600,24
TRIGO,1927,BUENOS AIRES,AYACUCHO,1000,970,540,523
TRIGO,1927,BUENOS AIRES,AZUL,28000,28000,950,26600
TRIGO,1927,BUENOS AIRES,BAHIA BLANCA,85000,85000,560,47600
TRIGO,1927,BUENOS AIRES,BALCARCE,27000,26000,550,14300
TRIGO,1927,BUENOS AIRES,BARADERO,9500,9500,1120,10640
TRIGO,1927,BUENOS AIRES,BARTOLOME MITRE,9000,9000,1000,9000
TRIGO,1927,BUENOS AIRES,BENITO JUAREZ,27000,25700,910,23387
TRIGO,1927,BUENOS AIRES,BOLIVAR,70000,70000,1100,77000
TRIGO,1927,BUENOS AIRES,BRAGADO,47000,47000,1425,66975
TRIGO,1927,BUENOS AIRES,BRANDSEN,300,300,800,240
TRIGO,1927,BUENOS AIRES,CAMPANA,950,950,1000,950
TRIGO,1927,BUENOS AIRES,CARLOS CASARES,26000,26000,1400,36400
TRIGO,1927,BUENOS AIRES,CARLOS TEJEDOR,30000,30000,1010,30300
TRIGO,1927,BUENOS AIRES,CARMEN DE ARECO,3000,3000,1080,3240
TRIGO,1927,BUENOS AIRES,CASTELLI,600,500,810,405
TRIGO,1927,BUENOS AIRES,COLON,3000,3000,1200,3600
TRIGO,1927,BUENOS AIRES,CORONEL DORREGO,204000,198800,730,145124
TRIGO,1927,BUENOS AIRES,CORONEL PRINGLES,131500,128200,780,99996
TRIGO,1927,BUENOS AIRES,CORONEL SUAREZ,122000,122000,940,114680
TRIGO,1927,BUENOS AIRES,CHACABUCO,30000,30000,1400,42000
TRIGO,1927,BUENOS AIRES,CHASCOMUS,1000,1000,920,920
TRIGO,1927,BUENOS AIRES,CHIVILCOY,46000,46000,1360,62560
TRIGO,1927,BUENOS AIRES,DOLORES,300,300,710,213
TRIGO,1927,BUENOS AIRES,EXALTACION DE LA CRUZ,5000,5000,1200,6000
TRIGO,1927,BUENOS AIRES,FLORENCIO VARELA,50,50,800,40
TRIGO,1927,BUENOS AIRES,GENERAL ALVARADO,22000,21300,800,17040
TRIGO,1927,BUENOS AIRES,GENERAL ALVEAR,4500,4500,850,3825
TRIGO,1927,BUENOS AIRES,GENERAL ARENALES,20200,20200,1261,25472
TRIGO,1927,BUENOS AIRES,GENERAL BELGRANO,2150,1700,850,1445
TRIGO,1927,BUENOS AIRES,GENERAL GUIDO,200,200,1000,200
TRIGO,1927,BUENOS AIRES,GENERAL JUAN MADARIAGA,80,80,750,60
TRIGO,1927,BUENOS AIRES,GENERAL LA MADRID,17000,17000,1000,17000
TRIGO,1927,BUENOS AIRES,GENERAL LAS HERAS,55,55,1700,93
TRIGO,1927,BUENOS AIRES,GENERAL PAZ,950,500,1000,500
TRIGO,1927,BUENOS AIRES,GENERAL PINTO,44000,44000,1100,48400
TRIGO,1927,BUENOS AIRES,GENERAL PUEYRREDON,18000,17300,660,11418
TRIGO,1927,BUENOS AIRES,GENERAL RODRIGUEZ,1050,1050,1000,1050
TRIGO,1927,BUENOS AIRES,GENERAL VIAMONTE,35000,35000,1460,51100
TRIGO,1927,BUENOS AIRES,GENERAL VILLEGAS,66000,66000,865,57090
TRIGO,1927,BUENOS AIRES,GUAMINI,50000,50000,1100,55000
TRIGO,1927,BUENOS AIRES,GENERAL SARMIENTO,530,530,1500,795
TRIGO,1927,BUENOS AIRES,JUNIN,38000,38000,1300,49400
TRIGO,1927,BUENOS AIRES,LA PLATA,2500,2500,1200,3000
TRIGO,1927,BUENOS AIRES,LAPRIDA,6500,6500,930,6045
TRIGO,1927,BUENOS AIRES,LAS FLORES,600,600,835,501
TRIGO,1927,BUENOS AIRES,LEANDRO N. ALEM,9000,9000,1110,9990
TRIGO,1927,BUENOS AIRES,LINCOLN,70000,70000,1260,88200
TRIGO,1927,BUENOS AIRES,LOBERIA,32100,28900,590,17051
TRIGO,1927,BUENOS AIRES,LOBOS,3600,3600,1150,4140
TRIGO,1927,BUENOS AIRES,LUJAN,6680,6680,1200,8016
TRIGO,1927,BUENOS AIRES,MAGDALENA,13000,11500,1230,14145
TRIGO,1927,BUENOS AIRES,MAIPU,300,300,1000,300
TRIGO,1927,BUENOS AIRES,MAR CHIQUITA,7710,7710,600,4626
TRIGO,1927,BUENOS AIRES,MARCOS PAZ,130,130,800,104
TRIGO,1927,BUENOS AIRES,MERCEDES,1700,1700,1240,2108
TRIGO,1927,BUENOS AIRES,MERLO,100,100,1000,100
TRIGO,1927,BUENOS AIRES,MONTE,1000,1000,650,650
TRIGO,1927,BUENOS AIRES,NAVARRO,3500,3500,1150,4025
TRIGO,1927,BUENOS AIRES,NECOCHEA,148000,143480,804,115357
TRIGO,1927,BUENOS AIRES,9 DE JULIO,56000,56000,1500,84000
TRIGO,1927,BUENOS AIRES,OLAVARRIA,40000,40000,1000,40000
TRIGO,1927,BUENOS AIRES,PATAGONES,62000,54000,340,18360
TRIGO,1927,BUENOS AIRES,PEHUAJO,60000,60000,1340,80400
TRIGO,1927,BUENOS AIRES,PELLEGRINI,71000,71000,1010,71710
