cultivo,periodo,provincia,departamento,sup_sem_ha,sup_cos_ha,rend_kgxha,prod_ton
TRIGO,1927,BUENOS AIRES,ADOLFO ALSINA,107000,105000.0,870.0,91350
TRIGO,1927,BUENOS AIRES,ADOLFO GONZALES CHAVES,42000,42000.0,950.0,39900
TRIGO,1927,BUENOS AIRES,ALBERTI,35000,35000.0,1592.0,55720
TRIGO,1927,BUENOS AIRES,AYACUCHO,1000,970.0,540.0,523
TRIGO,1927,BUENOS AIRES,AZUL,28000,28000.0,950.0,26600
TRIGO,1927,BUENOS AIRES,BAHIA BLANCA,85000,85000.0,560.0,47600
TRIGO,1927,BUENOS AIRES,BALCARCE,27000,26000.0,550.0,14300
TRIGO,1927,BUENOS AIRES,BARADERO,9500,9500.0,1120.0,10640
TRIGO,1927,BUENOS AIRES,BARTOLOME MITRE,9000,9000.0,1000.0,9000
TRIGO,1927,BUENOS AIRES,BENITO JUAREZ,27000,25700.0,910.0,23387
TRIGO,1927,BUENOS AIRES,BOLIVAR,70000,70000.0,1100.0,77000
TRIGO,1927,BUENOS AIRES,BRAGADO,47000,47000.0,1425.0,66975
TRIGO,1927,BUENOS AIRES,BRANDSEN,300,300.0,800.0,240
TRIGO,1927,BUENOS AIRES,CAMPANA,950,950.0,1000.0,950
TRIGO,1927,BUENOS AIRES,CARLOS CASARES,26000,26000.0,1400.0,36400
TRIGO,1927,BUENOS AIRES,CARLOS TEJEDOR,30000,30000.0,1010.0,30300
TRIGO,1927,BUENOS AIRES,CARMEN DE ARECO,3000,3000.0,1080.0,3240
TRIGO,1927,BUENOS AIRES,CASTELLI,600,500.0,810.0,405
TRIGO,1927,BUENOS AIRES,COLON,3000,3000.0,1200.0,3600
TRIGO,1927,BUENOS AIRES,CORONEL DORREGO,204000,198800.0,730.0,145124
TRIGO,1927,BUENOS AIRES,CORONEL PRINGLES,131500,128200.0,780.0,99996
TRIGO,1927,BUENOS AIRES,CORONEL SUAREZ,122000,122000.0,940.0,114680
TRIGO,1927,BUENOS AIRES,CHACABUCO,30000,30000.0,1400.0,42000
TRIGO,1927,BUENOS AIRES,CHASCOMUS,1000,1000.0,920.0,920
TRIGO,1927,BUENOS AIRES,CHIVILCOY,46000,46000.0,1360.0,62560
TRIGO,1927,BUENOS AIRES,DOLORES,300,300.0,710.0,213
