cultivo,periodo,provincia,departamento,sup_sem_ha,sup_cos_ha,rend_kgxha,prod_ton
YERBA MATE,1970,CORRIENTES,ITUZAINGO,3470,1106,2147,2374
YERBA MATE,1970,CORRIENTES,SANTO TOME,5205,1661,2146,3564
YERBA MATE,1970,MISIONES,APOSTOLES,11784,3052,1687,5148
YERBA MATE,1970,MISIONES,CAINGUAS,6078,1566,2278,3567
YERBA MATE,1970,MISIONES,CANDELARIA,3298,872,1170,1020
YERBA MATE,1970,MISIONES,CAPITAL,2346,444,1095,486
YERBA MATE,1970,MISIONES,CONCEPCION,4161,1096,1639,1796
YERBA MATE,1970,MISIONES,ELDORADO,10676,3059,2361,7222
YERBA MATE,1970,MISIONES,GENERAL MANUEL BELGRANO,30,9,1000,9
YERBA MATE,1970,MISIONES,GUARANI,383,134,2119,283
YERBA MATE,1970,MISIONES,IGUAZU,5244,1510,2287,3453
YERBA MATE,1970,MISIONES,LEANDRO N. ALEM,10332,2703,1852,5005
YERBA MATE,1970,MISIONES,LIBERTADOR GENERAL SAN MARTIN,9460,2275,2830,6438
YERBA MATE,1970,MISIONES,MONTECARLO,6817,1743,3022,5267
YERBA MATE,1970,MISIONES,OBERA,23455,6437,2627,16909
YERBA MATE,1970,MISIONES,SAN IGNACIO,18738,4877,2452,11958
YERBA MATE,1970,MISIONES,SAN JAVIER,3131,786,2296,1804
YERBA MATE,1970,MISIONES,SAN PEDRO,4,1,1000,1
YERBA MATE,1970,MISIONES,25 DE MAYO,908,227,2088,473
YERBA MATE,1971,CORRIENTES,ITUZAINGO,4314,1301,2536,3299
YERBA MATE,1971,CORRIENTES,SANTO TOME,6471,1954,2533,4949
YERBA MATE,1971,MISIONES,APOSTOLES,12316,3576,1702,6086
YERBA MATE,1971,MISIONES,CAINGUAS,6537,1694,2631,4456
YERBA MATE,1971,MISIONES,CANDELARIA,3460,1021,1120,1143
YERBA MATE,1971,MISIONES,CAPITAL,2641,476,1332,634
YERBA MATE,1971,MISIONES,CONCEPCION,4458,1214,1884,2287
YERBA MATE,1971,MISIONES,ELDORADO,10313,3425,2334,7993
YERBA MATE,1971,MISIONES,GENERAL MANUEL BELGRANO,30,8,1125,9
YERBA MATE,1971,MISIONES,GUARANI,436,149,2470,368
YERBA MATE,1971,MISIONES,IGUAZU,4362,1090,2884,3143
YERBA MATE,1971,MISIONES,LEANDRO N. ALEM,10296,2974,1945,5784
YERBA MATE,1971,MISIONES,LIBERTADOR GENERAL SAN MARTIN,8855,2419,2971,7186
YERBA MATE,1971,MISIONES,MONTECARLO,6552,1971,2935,5784
YERBA MATE,1971,MISIONES,OBERA,24579,7150,2880,20592
YERBA MATE,1971,MISIONES,SAN IGNACIO,18109,5172,2706,13995
YERBA MATE,1971,MISIONES,SAN JAVIER,3378,948,2307,2187
YERBA MATE,1971,MISIONES,SAN PEDRO,4,1,1000,1
YERBA MATE,1971,MISIONES,25 DE MAYO,946,275,2036,559
YERBA MATE,1972,CORRIENTES,ITUZAINGO,4383,1732,2818,4880
YERBA MATE,1972,CORRIENTES,SANTO TOME,6575,2600,2815,7319
YERBA MATE,1972,MISIONES,APOSTOLES,12348,4984,1789,8916
YERBA MATE,1972,MISIONES,CAINGUAS,6479,2280,2729,6222
YERBA MATE,1972,MISIONES,CANDELARIA,3086,1036,1146,1187
YERBA MATE,1972,MISIONES,CAPITAL,2095,825,887,731
YERBA MATE,1972,MISIONES,CONCEPCION,4307,1616,2057,3324
YERBA MATE,1972,MISIONES,ELDORADO,10315,4038,2589,10454
YERBA MATE,1972,MISIONES,GENERAL MANUEL BELGRANO,30,7,1714,11
YERBA MATE,1972,MISIONES,GUARANI,461,171,2585,442
YERBA MATE,1972,MISIONES,IGUAZU,4200,1485,3229,4795
YERBA MATE,1972,MISIONES,LEANDRO N. ALEM,10106,3915,2084,8158
YERBA MATE,1972,MISIONES,LIBERTADOR GENERAL SAN MARTIN,9284,3732,2978,11113
YERBA MATE,1972,MISIONES,MONTECARLO,6520,2691,3093,8323
